Gross,Net,NettoGross,Av_Porosit,Sw,Av_Shc,Phih,SoPhi,SoPhih,Av_Permeab,LLx,LLy
66,37.5,0.568,0.083,0.672,0.328,3.11,0.02722,1.0209,0.134,1786936.504,13418168.24
152,99,0.651,0.086,0.613,0.387,8.51,0.03328,3.294918,0.211,2058868.993,13566945.34
62,40.5,0.653,0.13,0.535,0.465,5.27,0.06045,2.448225,1.715,2082303.869,13582065.81
38,24,0.632,0.231,0.617,0.383,5.54,0.08847,2.123352,22.555,1931532.047,13561181.38
68,47.983,0.706,0.131,0.482,0.518,6.29,0.06786,3.256030414,1.521,1966233.916,13559605.63
95,53.992,0.568,0.155,0.517,0.483,8.37,0.07487,4.04211108,3.275,1955543.198,13551737.88
86,54.5,0.634,0.106,0.615,0.385,5.78,0.04081,2.224145,0.421,1783536.391,13421582.65
84,36.5,0.435,0.153,0.474,0.526,5.58,0.08048,2.937447,6.614,1780987.211,13421471.39
67,51.5,0.769,0.111,0.582,0.418,5.72,0.0464,2.389497,1.192,1783305.541,13420467.76
112,65,0.58,0.112,0.656,0.344,7.28,0.03853,2.50432,0.664,1785620.1,13424137.5
89,54.5,0.612,0.159,0.669,0.331,8.67,0.05263,2.8682805,2.38,1781982.531,13418149.88
71,33.5,0.472,0.117,0.611,0.389,3.92,0.04551,1.5246855,0.555,1780986.487,13418144.83
99,48,0.485,0.078,0.532,0.468,3.74,0.0365,1.752192,0.193,1883646.56,13389104.63
158,118.5,0.75,0.107,0.477,0.523,12.68,0.05596,6.6313785,0.942,1785957.803,13416521.66
64,37.5,0.586,0.129,0.615,0.385,4.84,0.04967,1.8624375,1.273,1784305.191,13417499.39
32,23,0.719,0.155,0.572,0.428,3.57,0.06634,1.52582,2.065,1779672.243,13422771.38
354,115,0.325,0.084,0.547,0.453,9.66,0.03805,4.37598,0.236,1894293.319,13394022.14
66,39.492,0.598,0.098,0.48,0.52,3.87,0.05096,2.01251232,0.659,1951423.095,13503829.02
